>>L<<Russian	>>L<<English
Заклятье Массовый сон	Mass Sleep Spell
Заклятье Медлительность	Sluggishness Spell
Заклятье Ментальный раб	Enslave Mind Spell
Заклятье Могучее оружие	Mighty Weapon Spell
Заклятье Мультиатака	Multiattack Spell
Заклятье Небесный гром	Celestial Thunder Spell
Заклятье Нечестивое слово	Unholy Word Spell
Заклятье Облако тьмы	Cloud of Darkness Spell
Заклятье Обратить в драйдера	Drider Transformation Spell
Заклятье Обращение в жреца	Cleric Transformation Spell
Заклятье Обращение в скелета	Skeleton Transformation Spell
Заклятье Обращение в чёрта	Fiend Transformation Spell
Заклятье Общая защита	Mass Defense Spell
Заклятье Общая огнеупорность	Mass Fire Immunity Spell
Заклятье Общая перезарядка	Mass Reload Spell
Заклятье Общая ярость	Mass Rage Spell
Заклятье Общее благословение	Mass Bless Spell
Заклятье Общее замедление	Mass Slow Spell
Заклятье Общее лечение	Mass Heal Spell
Заклятье Общее проклятие	Mass Curse Spell
Заклятье Общее снятие чар	Mass Dispel Spell
Заклятье Объятия Тьмы	Embrace of Darkness Spell
Заклятье Огненный взрыв	Fireblast Spell
Заклятье Огненный выстрел	Fire Shot Spell
Заклятье Огненный дождь	Fire Rain Spell
Заклятье Огненный клинок	Fire Blade Spell
Заклятье Огненный шар	Fireball Spell
Заклятье Огненный шторм	Fire Storm Spell
Заклятье Опустошение колчанов	Deplete Quivers Spell
Заклятье Ослабление	Weakness Spell
Заклятье Отравить оружие	Poison Weapon Spell
Заклятье Очищающее пламя	Cleansing Flame Spell
Заклятье Паника	Panic Spell
Заклятье Паралич	Paralyze Spell
Заклятье Перехват управления	Intercept Control Spell
Заклятье Подвижность	Mobility Spell
Заклятье Поднять зомби	Raise Zombie Spell
Заклятье Поднять скелета	Raise Skeleton Spell
Заклятье Подчинение	Submission Spell
Заклятье Подчинить волю	Bind Will Spell
Заклятье Подъятие вампира	Raise Vampire Spell
Заклятье Подъятие жнеца	Raise Reaper Spell
Заклятье Подъятие кадавра	Raise Cadaver Spell
Заклятье Подъятие мумии	Raise Mummy Spell
Заклятье Подъятие хнары	Create Hnara Spell
Заклятье Пожирание	Devour Spell
Заклятье Поломка	Breakdown Spell
Заклятье Порча	Corruption Spell
Заклятье Похищение жизни	Life Drain Spell
Заклятье Починка	Repair Spell
Заклятье Призвать волка	Summon Wolf Spell
Заклятье Призвать дьявола	Summon Devil Spell
Заклятье Призвать медведя	Summon Dire Bear Spell
Заклятье Призвать рой ос	Summon Wasp Swarm Spell
Заклятье Призвать тучу ос	Summon Wasp Cloud Spell
Заклятье Призыв гворна	Summon Huorn Spell
Заклятье Призыв духа воды	Summon Water Elemental Spell
Заклятье Призыв духа воздуха	Summon Air Elemental Spell
Заклятье Призыв духа земли	Summon Earth Elemental Spell
Заклятье Призыв духа огня	Summon Fire Elemental Spell
Заклятье Призыв птицелова	Summon Birdeater Spell
Заклятье Призыв скелета	Summon Skeleton Spell
Заклятье Призыв фантома	Summon Phantom Spell
Заклятье Приказ	Order Spell
Заклятье Проклятие	Curse Spell
Заклятье Прочность камня	Hard as Stone Spell
Заклятье Развеять чары	Dispel Magic Spell
Заклятье Разрушение брони	Armor Break Spell
Заклятье Разрывной выстрел	Explosive Shot Spell
Заклятье Раскалённая почва	Scorching Ground Spell
Заклятье Регенерация нежити	Undead Regeneration Spell
Заклятье Регенерация	Regeneration Spell
Заклятье Ремонт	Fix Spell
Заклятье Рунная магия	Magical Ammunition
Заклятье Святилище	Sanctuary Spell
Заклятье Святое слово	Holy Word Spell
Заклятье Сдерживание	Containment Spell
Заклятье Сейсмозаряд	Seismic Charge Spell
Заклятье Сила жизни	Life Breath Spell
Заклятье Силок	Snare Spell
Заклятье Слепота	Blindness Spell
Заклятье Слово Власти	Word of Power Spell
Заклятье Слово вождя	Chieftain Order Spell
Заклятье Слово Жизни	Word of Life Spell
Заклятье Смертельное касание	Deadly Touch Spell
Заклятье Смертельное облако	Death Cloud Spell
Заклятье Смертный страх	Deadly Terror Spell
Заклятье Снять чары	Dispel Spell
Заклятье Сожжение снарядов	Burn Ammo Spell
Заклятье Солнечный взрыв	Solar Blast Spell
Заклятье Страх	Fear Spell
Заклятье Стремительность	Swiftness Spell
Заклятье Суицид	Suicide Spell
Заклятье Тёмное возрождение	Dark Revival Spell
Заклятье Тёмный пакт	Dark Pact Spell
Заклятье Трясина	Quagmire Spell
Заклятье Убийца демонов	Demon Slayer Spell
Заклятье Ускорение	Haste Spell
Заклятье Уязвимость	Vulnerability Spell
Заклятье Фанатизм	Fanaticism Spell
Заклятье Целебный круг	Healing Circle Spell
Заклятье Целебный сон	Healing Sleep
Заклятье Цепь молний	Chain Lightning Spell
Заклятье Чудо	Miracle Spell
Заклятье Чума	Plague Spell
Заклятье Шаровая молния	Lightning Ball Spell
Заклятье Шторм	Storm Spell
Заклятье Щит предков	Ancestral Shield Spell
Заклятье Экзорцизм	Exorcism Spell
Заклятье Электрошок	Electric Shock Spell
Заклятье Яд болот	Swamp Poison Spell
Заклятье Яд дроу	Drow Poison Spell
Заклятье Ярость орды	Horde Rage Spell
Заклятье Ярость предков	Ancestral Rage Spell
Заклятье Ярость	Rage Spell
Закрытый шлем	Closed Helmet
Залежи железа	Iron Deposit
Залежи мифрила	Mithril Deposit
Залежи мрамора	Marble Deposit
Залесье	Downwoods
Залы Правосудия	Halls of Justice
Замедление	Slowed
Замок Белого Щита	White Shield Castle
Замок псионов	Psion Castle
Замок Тьмы	Castle of Darkness
Замок	Castle
Заморозка	Freeze
Замшевые сапоги	Suede Boots
Замшелые болота	Mossy Swamps
Зантар	Xantar
Зантарский лес	Xantar Wood
Запас золота	Gold Reserve
Запас кристаллов	Gem Reserve
материал	Materials
Запас снарядов	Ammo
Запас энергии	Energy Reserve
Запланировать постройку	Plan a Building
Запретное побережье	Forbidden Shore
Запретный лес	Forbidden Wood
Запутан в паутине	Web
Запястье	Wrist
зар	zar
Зарк Дугнир	Xar-Dugnir
Зархон	Xarchon
Зарядить	Reload
Засада разбойников	Ambush
Застава	Outpost
Затаптывание	Trample
Затенённый дол	Shadowed Vale
Затраты энергии	Energy Spent
Затронутый Смертью	Death Touched
Затхлые воды	Stagnant Waters
Зачарованная кольчуга	Enchanted Chainmail
Зачарованная стрела	Enchanted Arrow
Зачарованное копье	Enchanted Spear
Зачарованный арбалет	Enchanted Crossbow
Зачарованный клинок	Enchanted Blade
Зачарованный колодец	Enchanted Well
Зачарованный ларец 	Enchanted Coffer
Зачарованный лес	Enchanted Forest
Зачарованный омут	Enchanted Pool
Зачарованный остров	Enchanted Island
Зачарованный щит	Enchanted Shield
Защита от выстрела	Ranged Defense
Защита	Defense
Защитник Гарроса	Garros's Defender
Защитник света	Champion of Light
Защитник	Protector Sword
Защитные сапоги	Protection Boots
Заячьи холмы	Hare Hills
Звезда Мага	Star of the Mage
Звездопад	Starfall
Здоровье	Health
Зеленая круча	Green Banks
Зелёный дол	Green Vale
Землепроходец	Pathfinder
Землепроходчество	Pathfinding
Землетрясение	Earthquake
Земли гигантов	Giant Lands
Земли гноллов	Gnoll Lands
Земли гоблинов	Goblin Lands
Земли дроу	Drow Lands
Земли кентавров	Centaur Lands
Земли Хаоса	Lands of Chaos
Земли ящеров	Lizardman Lands
Земля Кошмаров	Nightmare Land
Земля мёртвых	Land of the Dead
Земляничный дол	Strawberry Vale
Земь	Eartham
Зерновые поля	Crop Fields
Зирготар	Xirgothar
Зловонное облако	Stinking Cloud
Зловонные холмы	Fetid Hills
Злой	Evil
Змеекорень	Snakeroot
Змеиное кольцо	Serpent Ring
Змеиный амулет	Serpent Amulet
Змеиный браслет	Serpent Bracelet
Знак Аард	Aard Sign
Знак Аксий	Axii Sign
Знак Игни	Igni Sign
Знак Ирден	Yrden Sign
Знак Квен	Quen Sign
Знак Аард	Aard Sign
Знак Аксий	Axii Sign
Знак Игни	Igni Sign
Знак Ирден	Yrden Sign
Знак Квен	Quen Sign
Знак наёмника	Mercenary Badge
Знак неупокоения	Sign of Unrest
Знак Чародея	Battlemage's Badge
Знамя Единства	Banner of Unity
Знамя Несокрушимости	Banner of Defiance
Знамя Орды	Banner of the Horde
Знамя Победы	Banner of Victory
Знамя	Banner
Знание болот	Swamp Knowledge
Знание леса	Forest Knowledge
Знание троп	Pathfinding
Знание холмов	Hills Knowledge
Знахарева дубрава	Hedgewizard's Oaks
Знающий	Competent
Знойная долина	Sweltering Valley
Зов некроманта	Necromancer's Call
Золотая жила	Gold Vein
Золотая Сфера	Golden Sphere
Золото за задания	Gold for Quests
Золото за ход	Gold per Turn
Золото	Gold
Золотое кольцо	Golden Ring
Зомби	Zombie
Зубастый кряж	Toothy Range
Зур-Быршагг	Xur-Byrshagg
Зыбкие земли	Swelling Lands
Зыбучие пески	Quicksand
Игорный дом	Gambling House
Игральня	Gaming House
Игрок	Player
Игроки	Players
Идолово поле	Idol Field
Идти в провинцию	Go to Province
Избушка ведьмы	Witch's Hut
Изверг	Fiend Lord
Изгнание бесов	Banishing Imps
Изгнание гончих	Banishing the Hounds
Изгнание демонов	Banishing Demons
Изгнание дьяволов	Banishing Devils
Изгнание чертей	Banishing Fiends
Изгнание	Banish
Излечение нежити	Undead Recovery
Излечение	Recovery
Изменить сложность	Change Difficulty
Изменить торговый договор	Change Trade Agreement
Изумрудный браслет	Emerald Bracelet
Изумрудный перстень	Emerald Ring
Изучение заклинаний (S)	Learn Spells (S)
Изучение заклинания	Learn Spell
Изученная территория	Explored Area
Икра болотной стрекозы	Dragonfly Eggs
Икра слизня	Giant Slug Eggs
Илисдал	Ilysdal
Илистое болото	Slimy Swamp
Иллитид	Illithid
Иллитиды	Illithids
Иль	Ile
Ильтэн	Ilthan
Иммунитет к внушениям	Mind Control Immunity
Иммунитет к воздуху	Air Immunity
Иммунитет к заклинаниям	Spell Immunity
Иммунитет к огню	Fire Immunity
Иммунитет к холоду	Cold Immunity
Иммунитет к яду	Poison Immunity
Имперская Стража	Imperial Guards
Имя игрока	Player Name
Инвентарь переполнен!	Inventory Full!
Инвентарь	Inventory
Инерон	Eineron
Инициатива	Initiative
Инквизитор	Inquisitor
Инквизиторы	Inquisitors
Инквизиция	Inquisition
Интернет	Internet
Инфо-панели (Alt)	Info Panels (Alt)
Информация о страже	Guard Info
Ипподром	Hippodrome
ир	ire
Искажение Хаоса	Chaos Distortion
Искры	Sparks
Искусство боя	Combat
Испепеление	Incineration
Испуган	Scared
Иссир	Yssir
Исследование провинций	Province Exploration
Исследование	Exploration
Исследовано	Explored
Исследователь	Explorer
Исследовать провинцию (Q)	Explore Province (Q)
Исследовать провинцию	Explore Province
Исслушш	Ysslushh
Исступление	Frenzy
Истинное воскрешение	True Ressurection
Истончение брони	Dissolve Armor
История Эадора	The History of Eador
Источник золота	Source of Gold
Источник кристаллов	Source of Crystals
Исцеление	Restoration
Исчадие Зла	Evil Incarnate
Ифринделл	Ifryndell
Кабанцы	Boarhold
Кабанья пуща	Wildboar Thicket
Кавалерийские казармы	Cavalry Barracks
Кавалерист	Cavalryman
Кавалерия	Cavalry
Мумия	Mummy
Казарма	Barracks
Казармы гвардейцев	Guardsmen Barracks
Казармы орков	Orcish Barracks
Казино	Casino
Калечащий удар	Crippling Strike
Каменная корка	Stone Crust
Каменные земли	Stone Lands
Каменные пади	Stonefolds
Каменные шипы	Stone Spikes
Каменный голем	Stone Golem
Каменный дождь	Rain of Stones
Каменный идол	Stone Idol
Каменный истукан	Stone Idol
Каменцы	Stonesides
Камнекожа	Stone Skin
Камнемёт	Stone Thrower
Кампания	Campaign
Камышовы пади	Reed Folds
Камышовые болота	Reedy Swamps
кан	kan
Кандар Рок	Candar Rock
Капитальный ремонт	Rebuilding
Капитан латников	Ironclad Captain
Капитолий	Capitol
Капкан	Trap
Капюшон Воплощений	Hood of Incarnation
Капюшон Магистра	Magister's Hood
Капюшон Некроманта	Necromancer's Hood
Капюшон посланника	Emissary's Hood
Капюшон Тайны	Hood of Mystery
Караваи	Loaves
Каратель	Punisher
Карающая длань	Smiting Hand
Карильмово поле	Karilme's Grounds
Карм	Carme
Карта	Map
Картограф	Cartographer
Карэд	Carred
Касание вампира	Vampiric Touch
Касание гуля	Ghoul's Touch
Катапульта	Catapult
Кафтан Торговца	Merchant's Coat
Кафтан	Coat
Квартал гноллов	Gnoll's Quarters
Квартал зрелищ	Entertainment Quarter
Квартал людоящеров	Lizardmen Quarter
Квартал полуросликов	Halfling Quarter
Квартал союзников	Foreign Quarter
Квил	Quil
Кен	Quen
Кентавр	Centaur
Кентавр-вождь	Centaur-chief
Кентавр-воин	Centaur-warrior
Кентавры	Centaurs
Кешик	Keshik
Кикиморовы топи	Lurker Bogs
Килир Тарок	Quilir-Tarock
Кинжал Междумирья	Dagger of Two Worlds
Кинжал Чародея	Conjurer's Dagger
Кинжал	Dagger
Кираса Паладина	Paladin's Cuirass
Кираса	Cuirass
Кислота	Covered by Acid
Кистень Грома	Flail of Thunder
Кистень	Morgenstern
Кисти рук	Hands
Клайм	Clime
Клан гигантов	Clan of Giants
Клан кентавров	Clan of Centaurs
Клан циклопов	Clan of Cyclopes
Клепаная куртка	Riveted Jacket
Клепаные перчатки	Riveted Gloves
Клерики	Clerics
Клетки кобольдов	Kobold Cages
Клинок Армагеддона	Armageddon's Blade
Клинок Ночи	Blade of Night
Клинок рецидивиста	Offender's Blade
Клинок Хана	Khan's Blade
Клирен	Cleeren
Клич некроманта	Necromancer's Cry
Клыкастая круча	Fanged Banks
Клэймор	Claymore
Ключей Истины	Keys of Truth
Книга Бездны	Tome of Abyss
Книга Владык	Book of the Masters
Книга Некруса	Book of Necrus
Книга псиона	Psion Tome
Книга элементалиста	Elementalist Tome
Княжий дол	Prince's Vale
Княжьи запруды	Prince's Dams
Княжьи угодья	Prince's Lands
Кобольд	Kobold
Кобольд-раб	Kobold-slave
Кобольды	Kobolds
Кованые сапоги	Ironshod Boots
Когти	Claws
Кожаная куртка	Leather Jacket
Кожаная шляпа	Leather Hat
Кожаные боты	Leather Overshoes
Кожаные перчатки	Leather Gloves
Кожаные сапоги	Leather Boots
Кожаный наруч	Leather Bracers
Кожаный пояс	Leather Belt
Кожаный шлем	Leather Helmet
Кожемяки	Tannerside
Козий луг	Goat Meadow
Колдовская дубрава	Ensorcelled Oakwood
Колдовская чаща	Ensorcelled Thicket
Колдун	Sorcerer
Колизей	Colosseum
Коллекционер	Collector
Колчан Дариола	Dariol's Quiver
Кольцо Архимага	Archmage's Ring
Кольцо Вампира	Vampire's Ring
Кольцо Гарроса	Garros's Ring
Кольцо Герскила	Herskil's Ring
Кольцо Дариола	Dariol's Ring
Кольцо Жизни	Ring of Life
Кольцо Заклинателя	Enchanter's Ring
Кольцо некроманта	Necromancer's Ring
Кольцо Оинора	Oinor's Ring
Кольцо первооснов - Вода	Elemental Ring of Water
Кольцо первооснов - Воздух	Elemental Ring of Air
Кольцо первооснов - Земля	Elemental Ring of Earth
Кольцо первооснов - Огонь	Elemental Ring of Fire
Кольцо проворства	Ring of Agility
Кольцо Регенерации	Ring of Regeneration
Кольцо Торговца	Merchant's Ring
Кольцо Чародея	Conjurer's Ring
Кольцо экзекутора	Executioner's Ring
Кольцо Юрия	Yuri's Ring
Кольцо	Ring
Кольчуга Ветерана	Veteran's Chainmail
Кольчуга Героя	Hero's Chainmail
Кольчуга Древних	Mail of the Ancients
Кольчужные перчатки	Mail Gloves
Кольчужные рукавицы	Mail Gauntlets
Кольчужный наруч	Mail Bracers
Колючая куртка	Thorny Jacket
Колючие пустоши	Bristly Waste
Командир	Commander
Командирские регалии	Commander's Regalia
Командование	Command
команду авантюристов	Adventurers
Комариные топи	Mosquito Bogs
Композитный лук	Composite Bow
Конец хода (E)	End of Turn (E)
Кони	Horses
Конклав	Conclave
Конный лучник	Horse Archer
Конские броды	Horses Ford
Контратака	Counterattack
Контроль нежити	Control Undead Spell
Контроль разума	Mind Control
Контроль энергий	Energy Control
Конунг	Konung
Концентрация	Concentration
Конюшня	Stable
Копейщик	Spearman
Копье Возмездия	Spear of Retribution
Копье Судьбы	Spear of Destiny
Корабельный лес	Shiptimber Wood
Кормантор	Cormanthor
Кормчие леса	Helmsman Woods
Корнбург	Cornburg
Корни	Roots
Корона Мыслей	Crown of Thought
Короткие дебри	Short Wilds
Короткий лук	Short Bow
Короткий меч	Shortsword
Короткий посох	Short Staff
Короткое копье	Short Spear
Коррупция	Corruption
Коса Смерти	Scythe of Death
Космические Рейнджеры	Space Rangers
Костолом	Bonebreaker
Костяная гряда	Bone Ridge
Костяная стая	Skeletal pack
Костяной идол	Bone Idol
Костяной копейщик	Bone Spearman
Костяной тотем	Bone Totem
Кочевники	Nomads
Кочевое племя	Nomadic Tribe
Кошачьи рефлексы	Cat's Reflexes
Кошачья горка	Cat's Mount
Кошачья лапка	Cat's Paw
Кошмар	Nightmare
Кра	Cra
Крадущийся-Во-Тьме	Night Stalker
Кража снарядов	Steal Ammo
Крайние земли	Outer Lands
Красная дубрава	Red Oakwood
Красное дерево	Redwood
Крепость ведьмаков	Witcher's Fortress
Крепость дроу	Drow Stronghold
Крепость	Fortress
Крест Героя	Hero's Cross
Кривая тропа	Crooked Path
Криволесье	Crookwood
Кривуха	Crookedy
Кристалл Власти	Crystal of Power
Кристалл Могущества	Crystal of Might
Кристалл Силы	Crystal of Power
Кристалл	Crystal
Кристаллическая сфера	Crystalline Sphere
Кристаллы за ход	Gems per Turn
Кристаллы	Crystals
Кристальная шахта	Crystal Mine
Кристальное кольцо	Crystalline Ring
Кровавая длань	Bloody Hand
Кровавая жертва	Blood Sacrifice
Кровавая кираса	Blood Red Cuirass
Кровавая ярость	Bloodlust
Кровавое золото	Bloody Gold
Кровавые болота	Bloody Swamps
Кровавый ритуал	Blood Ritual
Кровопийца	Bloodsucker
Кровь демонов	Demon Blood
Круг колдунов	Sorcerers' Circle
Круглый щит	Round Shield
Круговая атака	Round Attack
Круд	Crudd
Крупный	Large
Крылатая кольчуга	Winged Chainmail
Крылатая стража	Winged Guards
Крылатые твари	Winged Creatures
Крысиное поле	Rat Field
Кряж Лунного камня	Moonstone Ridge
Кряжи Призраков	Ghostridges
Кувшинковы топи	Waterlilly Bogs
Кузнечное дело	Blacksmithing
Кузница	Forge
Кулачный щит	Buckler
Кулон Дариола	Dariol's Pendant
Кулон Тайны	Pendant of Mystery
Кулон Торговца	Merchant's Pendant
Культ Гидры	Cult of the Hydra
Культ Дракона	Cult of the Dragon
Культ Титана	Cult of the Titan
Культ Феникса	Cult of the Phoenix
Кунер	Cuner
Купить игру	Buy the Game
Купить	Buy
Купцовы топи	Merchant's Swamps
Курганные степи	Mound Steppes
Куртка Атамана	Raider's Jacket
Куртка Василиска	Basilisk Jacket
Куртка Дариола	Dariol's Jacket
Куртка дроу	Drow Jacket
Куртка Единорога	Unicorn Jacket
Куртка Ловчего	Stalker's Jacket
Куртка Мантикоры	Manticore Jacket
Куртка Мошенника	Swindler's Jacket
Куртка рецидивиста	Offender's Jacket
Курхат	Curchat
Кусок минералов	Mineral Chunk
Кушак Волшебника	Wizard's Sash
Кхарча	Kharcha
Кэр	Car
Лабиринт	Labyrinth
Лавка знаний	Knowledge Store
Лавка кольчуг	Chain Mail Armory
Лавка лат	Plate Armory
Лавка оружейника	Weapon Store
Лавка плотника	Carpenter's Shop
Лавка портного	Tailor Store
Лавка скорняка	Tanner Store
Лавка стрелка	Archery Store
Лавка чародея	Sorcery Store
Лавка ювелира	Jewelry Store
Лавки	Shops
Лагерь варваров	Barbarian Camp
Лагерь кентавров	Centaur Camp
Лагерь кочевников	Nomad Camp
Лагерь охотников	Hunters Camp
Лазерный меч	Lightsaber
Ландшафт	Landscape
Ланнотрин	Lannotryn
Лантанэй	Lantanay
л'Аншар	L'Anshar
Лартан	Lartan
Лартинские болота	Lartia Swamps
Латник	Ironclad
Латники	Ironclads
Латные боты	Plate Overshoes
Латные перчатки	Plate Gloves
Латные рукавицы	Plate Gauntlets
Латные сапоги	Plate Boots
Латный доспех	Plate Armour
Латный наруч	Plate Bracers
Латный шлем	Plate Helmet
Лачуги гоблинов	Goblin Hut
Леа	Lea
Лебяжий омут	Swan Pool
Левая рука	Left Arm
Левитация	Levitation
Легендарных	Legendary
Легкая броня	Light Armor
Лёгкая пехота	Light Infantry
Легкие сапоги	Light Boots
Легкий арбалет	Light Crossbow
Ледяная глыба	Ice Chunk
Ледяная змея	Ice Snake
Ледяная молния	Chilling Lightning
Ледяное сердце	Glacial Heart
Ледяной шторм	Ice Storm
Лейт	Leith
Лекарня	Infirmary
Лекарь	Healer
Лес Ведунов	Savants Forest
Лес Единорога	Unicorn Forest
Лес Западной Звезды	Western Star Forest
Лес Падших	Forest of the Departed
Лес Сотни Стрел	Woods of Many Arrows
Лес Теней	Forest of Shadows
Лес	Forest
Леса Безмолвия	Woods of Stillness
Леса Висельников	Hangmen Woods
Леса Пикси	Pixie Woods
Леса Предков	Ancestral Woods
Леса	Forests
Лесистый дол	Woody Vale
Лески	Groves
Лесная стража	Forest Guards
Лесной квартал	Forest Quarter
Лесной Край	Forest Country
Лесные перчатки	Forest Gloves
Лесопилка	Sawmill
лет	years
Летающий	Flying
Лечение	Cure Wounds
Ливень стрел	Arrow Shower
Лигс	Ligs
Лидерство	Leadership
Лик Смерти	Face of Death
Линт	Lynt
Линтир	Lintyr
Лисья пуща	Fox Thicket
Литейный цех	Foundry
Лич	Lich
Лишние ресурсы	Excess resources
Ловкость	Agility
Логова	Lairs
Логово бандитов	Bandit Lair
Логово драйдеров	Driders Lair
Логово Зверя	Beast Lair
Логово разбойников	Brigand Lair
Логово троллей	Troll Lair
Логово чудовищ	Behemoth's Lair
Лозовьи пущи	Vine Thicket
Локальная сеть	Local Network
Лорд Мрака	Lord of Darkness
Лорд Хаоса	Chaos Lord
Луговина	Meadowside
Лук Ветра	Bow of Winds
Лук Дариола	Dariol's Longbow
Лук Кентавра	Centaur's Bow
Лук Ренвера	Renver's Bow
Лук Степняков	Nomad Bow
Лук Черного Леса	Black Forest Bow
Лунная долина	Moonlight Valley
Лунный камень	Moonstone
Лунный остров	Moon Island
Лунный посох	Moon Staff
Луталлан	Loutallan
Лучник	Bowman
Лучший титул	Best Title
Лысая гора	Bald Mountain
Лэндерг	Landerg
Люди	Humans
Людоед	Ogre
Людоеды	Ogres
Людоящер	Lizardman
Людоящеры	Lizardmen
Лютые леса	Ferocious Woods
Маг	Magician
Маги	Magicians
Магистр	Magister
Магистрат	Town Hall
Магическая атака	Mass Attack
Магическая башня	Magic Tower
Магическая защита	Mass Defense
Магическая искра	Magic Spark
Магический барьер  	Magic Barrier
Магический бой	Magic Fight
Магический выстрел	Magic Shot
Магический квартал	Magic Quarter
Магический колодец	Magic Well
Магический удар	Magic Strike
Магия	Magic
Магнус	Magnus
Малахитовый амулет	Malachite Amulet
Маленький	Tiny
Мало	A little
Мандрагора	Mandrake
Маневр	Maneuvering
Манеж	Riding Ground
Мантикора	Manticore
Мантия Архимага	Archmage's Mantle
Мантия Воплощений	Mantle of Incarnation
Мантия Заклинателя	Enchanter's Mantle
Мантия Иллюзий	Mantle of Illusion
Мантия Магистра	Magister's Mantle
Мантия Оинора	Oinor's Mantle
Мантия Тайны	Mantle of Mystery
Мантия	Mantle
Мар	Mar
Мародер 10	Marauder 10
Мародер 15	Marauder 15
Мародер	Marauder
Маршал	Marshal
Маршальский жезл	Marshal's Baton
Марш-бросок (M)	Forced March (M)
Марш-бросок	Forced March
Маска Людоеда	Ogre's Mask
Маска рецидивиста	Offender's Mask
Массовое заземление	Mass Grounding
Массовое осушение	Mass Life Drain
Массовый сон	Mass Sleep
Массовый суицид	Mass Suicide
Мастер артефактов	Artifact Master
Мастер брони	Armor Master
Мастер жезла	Wand Master
Мастер кольчуг	Master Mailmaker
Мастер лат	Master Platemaker
Мастер меча	Swordmaster
Мастер оружейник	Master Weaponsmith
Мастер оружия	Weapon Master
Мастер плотник	Master Carpenter
Мастер портной	Master Tailor
Мастер скорняк	Master Tanner
Мастер чародей	Master Enchanter
Мастер ювелир	Master Jeweler
Мастер	Master
Мастера горгулий	Gargoyle Masters
Мастер-некромант	Master Necromancer
Мастеровой	Workman
Мастерская колдуна	Sorcerer's Workshop
Мастерские гномов	Dwarven Workshop
Мастерские гоблинов	Goblin Workshop
Мастерские	Workshop
Мастер-убийца	Master Assassin
Мать-Хранительница	Mother Keeper
Маховые холмы	Swinging Hills
Маяк	Lighthouse
Медаль за Непоколебимость	Medal for Resolution
Медаль за Отвагу	Medal for Courage
Медаль за Рвение	Medal for Zeal
Медаль за Сноровку	Medal for Agility
Медаль за Стойкость	Medal for Resilience
Медаль Капитана	Captain's Medal
Медаль Командира	Commander's Medal
Медаль Целителя	Healer's Medal
Медальон Героя	Hero's Medallion
Медведи	Bears
Медвежьи дебри	Bearwilds
Медитация	Meditation
Медлительность	Sluggishness
Медное кольцо	Copper Ring
Медные холмы	Copper Hills
Медный браслет	Copper Bracelet
Медный крест	Copper Cross
Медовые луга	Honey Meadows
Медовые поля	Honey Fields
Медуза	Medusa
Медузы	Medusas
Мел	Mel
Мелис	Melis
Мельница	Mill
Мельтер Аррас	Melter Arras
Мензоберранзан	Menzoberranzan
Менкор	Mencor
Ментальный раб	Enslaved
Ментар-Тардос	Mentar-Tardos
Мери	Meri
Мертвая земля	Dead Land
Мёртвая плоть	Dead Flesh
Мертвецкие топи	Deadmen Swamp
Мертвое воинство	Host of the Dead
Мертвое поле	Dead Field
Мертволесье	Deadtree Woods
Мерцающие топи	Shimmering Bogs
Местное ополчение	Local Militia
Местность (сколько исследовано)	Terrain (explored)
Местность	Terrain
Местный лорд	Local Lord
Месть людоедам	Revenge on the Ogres
Меткость	Marksmanship
Механизм	Mechanical
Механический	Mechanical
Меч Безумия	Sword of Insanity
Меч Бессмертных	Sword of the Immortals
Меч Древних	Sword of the Ancients
Меч Крови	Sword of Blood
Меч Мастера	Master's Sword
Меч Правосудия	Sword of Justice
Мечелом	Swordbreaker
Мечник	Swordsman
Минотавр	Minotaur
Минотавры	Minotaurs
Мир	Peace
Миранское аббатство	Myrane Abbey
Мистическая башня	Mystical Tower
Мифрил	Mithril
Мифрильная кираса	Mithril Cuirass
Мифрильная кольчуга	Mithril Chainmail
Мифрильные стрелы	Mithril Arrows
Мифрильный наруч	Mithril Bracers
Мифрильный шлем	Mithril Helmet
Мифрильный щит	Mithril Shield
Мишень Братства	Target of Brotherhood
Младшая нежить	Lesser Undead
Много	A plenty
Мобильность	Mobility
Могучее оружие	Mighty Weapon
Модификаторы очков	Point Modifiers
Модификаторы	Modifiers
Можно строить	Can be built
Молниеносный кинжал	Lightning Dagger
Молния	Lightning
Молот Создателя	Hammer of the Creator
Молот Сокрушения	Hammer of Smashing
Молот	Hammer
Молотовы холмы	Hammer Hills
Монастырь	Monastery
Монах	Monk
Монолит	Monolith
Монстры	Monsters
Монумент Волшебства	Magic Monument
Монумент Колдовства	Sorcery Monument
Монумент Света	Light Monument
Монумент Стихий	Elemental Monument
Монумент Тьмы	Darkness Monument
Монумент Хаоса	Chaos Monument
Море	Sea
Мороковы топи	Murky Bogs
Моря	Seas
Моховые пущи	Moss Thicket
Мрамор	Marble
Мудрость	Wisdom
Мультиатака	Multiattack Spell
Мутноводье	Muddywaters
Набранные очки	Points Gained
Набрано очков	Points Gained
Наградить	Reward
Награды	Rewards
Нагрудник Доблести	Chestpiece of Valor
Нагрудник	Chestpiece
Надзиратели	Overseers
Надпись неразборчива	Unreadable Inscription
Наездник на волке	Wolfrider
Наёмник	Mercenary
Наёмники	Mercenaries
Назад	Back
Название Вашего замка	Name of your stronghold
Название столицы	Capital Name
Найден амулет До-Гора	Doh-Gor's Amulet Found
Найдено сокровищ	Treasures Found
Найм войска (D)	Hire Troops (D)
